isin,per_isin_id,issuer_name,issuer_sector,bond_label,bond_amount,bond_currency,bond_USD_amount,total_USD_allocated,pre_icma_category,pre_category_as_reported,pre_subcategory,pre_subcategory_as_reported,pre_subcategory_description,pre_eligibility_criteria,pre_exclusions,post_icma_category,post_category_as_reported,post_subcategory,post_subcategory_as_reported,post_allocation_detail,eu_tax_category,post_allocation_value,post_allocation_currency,post_allocation_USD,post_allocation_share_of_total,pre_source_detail,post_source_detail,source_trail
BE0000346552,1,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Clean Transportation,Clean Transportation,Electric Vehicles,Electric Vehicles,Support the development of electric vehicles and related infrastructure. Tax credits in favor of electric vehicles,,Large hydro projects exceeding 25MW are explicitly excluded from Renewable Energy category,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=4,,
BE0000346552,2,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,,,,,,,,Clean Transportation,Clean Transportation,,,Tax exemptions and deductions to promote clean transportation,,404000000.0,EUR,497708569.46,0.032437,,https://source.arctal.ai/entities/kingdom-of-belgium/alloc-report__2018__kingdom-belgium-green-olo-impact-detailing-environmental__2019-12-10__6ef98c8def13.pdf#page=5,"Allocation: 404,000,000.00 EUR (denom=bond, entry=category) | FX: EUR→USD ×1.231952 @2018-02-26 = 497,708,569 USD | Pct: 3.2%

Extraction notes:
Category-level aggregation performed as requested in agent guidance
Clean Transportation - Railway combines SNCB/NMBS New Rolling Stock (222M EUR, 68kt) and INFRABEL Railway Infrastructure Maintenance (768M EUR, 1512kt) for total 990M EUR and 1580kt lifetime GHG avoided
Clean Transportation - Tax Exemptions is separate at 404M EUR with 327kt annual GHG avoided
Renewable Energy - Offshore Wind: 173M EUR with 637kt annual GHG avoided
Renewable Energy - BIO INVEST: 66M EUR with 40kt total GHG avoided (28kt operational + 12kt under construction)
Eco-efficient & Circular Economy - Packaging: 100M EUR with 299kt annual GHG avoided
Assessment values converted from kilotons (kt) to tonnes (tCO2e) by multiplying by 1000
Railway investments show lifetime impacts (45 years for M7, 40 years for maintenance), others show 2017-2018 annual impacts
All allocations are for Belgium as this is a Belgian sovereign green bond"
BE0000346552,3,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Clean Transportation,Clean Transportation,Public Transport,Public Transport and Rail,"Promote transport services and modal shift towards public transportation and soft mobility; support multimodal transport solutions. Federal State's support for investment and operating expenditures related to the extension, improvement and maintenance of public transport and rail-related infrastructure",,Large hydro projects exceeding 25MW are explicitly excluded from Renewable Energy category,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=4,,
BE0000346552,4,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Clean Transportation,Clean Transportation,Rail,Train and Boat Transport,Transport by train or boat,,,Clean Transportation,Clean Transportation,Rail,,Railway infrastructure investments including new rolling stock (M7) and maintenance of railway infrastructure,,990000000.0,EUR,1219632385.55,0.079486,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=9,https://source.arctal.ai/entities/kingdom-of-belgium/alloc-report__2018__kingdom-belgium-green-olo-impact-detailing-environmental__2019-12-10__6ef98c8def13.pdf#page=5,"Allocation: 990,000,000.00 EUR (denom=bond, entry=category) | FX: EUR→USD ×1.231952 @2018-02-26 = 1,219,632,386 USD | Pct: 7.9%

Extraction notes:
Category-level aggregation performed as requested in agent guidance
Clean Transportation - Railway combines SNCB/NMBS New Rolling Stock (222M EUR, 68kt) and INFRABEL Railway Infrastructure Maintenance (768M EUR, 1512kt) for total 990M EUR and 1580kt lifetime GHG avoided
Clean Transportation - Tax Exemptions is separate at 404M EUR with 327kt annual GHG avoided
Renewable Energy - Offshore Wind: 173M EUR with 637kt annual GHG avoided
Renewable Energy - BIO INVEST: 66M EUR with 40kt total GHG avoided (28kt operational + 12kt under construction)
Eco-efficient & Circular Economy - Packaging: 100M EUR with 299kt annual GHG avoided
Assessment values converted from kilotons (kt) to tonnes (tCO2e) by multiplying by 1000
Railway investments show lifetime impacts (45 years for M7, 40 years for maintenance), others show 2017-2018 annual impacts
All allocations are for Belgium as this is a Belgian sovereign green bond"
BE0000346552,5,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Climate Change Adaptation,Living Resources and Land Use,Resilient Infrastructure,Climate Resilience,"Improve the resilience to climate change and other natural disasters, including in developing countries",,Large hydro projects exceeding 25MW are explicitly excluded from Renewable Energy category,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=4,,
BE0000346552,6,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,,,,,,,,"Eco-efficient & Circular Economy Adapted Products, Production Technologies & Processes","Eco-efficient & Circular Economy Adapted Products, Production Technologies & Processes",Reusable/Refurbished Products,,Reduced package charge for using individual reusable drink packages,,100000000.0,EUR,123195190.46,0.008029,,https://source.arctal.ai/entities/kingdom-of-belgium/alloc-report__2018__kingdom-belgium-green-olo-impact-detailing-environmental__2019-12-10__6ef98c8def13.pdf#page=5,"Allocation: 100,000,000.00 EUR (denom=bond, entry=category) | FX: EUR→USD ×1.231952 @2018-02-26 = 123,195,190 USD | Pct: 0.8%

Extraction notes:
Category-level aggregation performed as requested in agent guidance
Clean Transportation - Railway combines SNCB/NMBS New Rolling Stock (222M EUR, 68kt) and INFRABEL Railway Infrastructure Maintenance (768M EUR, 1512kt) for total 990M EUR and 1580kt lifetime GHG avoided
Clean Transportation - Tax Exemptions is separate at 404M EUR with 327kt annual GHG avoided
Renewable Energy - Offshore Wind: 173M EUR with 637kt annual GHG avoided
Renewable Energy - BIO INVEST: 66M EUR with 40kt total GHG avoided (28kt operational + 12kt under construction)
Eco-efficient & Circular Economy - Packaging: 100M EUR with 299kt annual GHG avoided
Assessment values converted from kilotons (kt) to tonnes (tCO2e) by multiplying by 1000
Railway investments show lifetime impacts (45 years for M7, 40 years for maintenance), others show 2017-2018 annual impacts
All allocations are for Belgium as this is a Belgian sovereign green bond"
BE0000346552,7,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Energy Efficiency,Energy Efficiency,Building Energy Efficiency,Building Insulation,Investments in limiting energy losses in buildings or greenhouses,,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=9,,
BE0000346552,8,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Energy Efficiency,Energy Efficiency,Building Energy Efficiency,Building Ventilation Systems,Limiting energy losses due to ventilation systems in buildings,,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=9,,
BE0000346552,9,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Energy Efficiency,Energy Efficiency,Energy Efficiency — Other,Heat Recovery Systems,Enabling the recovery of heat in various systems,,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=9,,
BE0000346552,10,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Energy Efficiency,Energy Efficiency,Energy Efficiency — Other,Cogeneration,Cogeneration systems installed in new or existing buildings,,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=9,,
