isin,per_isin_id,issuer_name,bond_amount,bond_currency,bond_USD_amount,post_icma_category,impact_metric,impact_type,impact_value,impact_unit,impact_per_million_USD,review_notes,post_source_detail,source_trail
BE0000346552,1,Belgium,12455000000,EUR,15343960971.76,Clean Transportation,Lifetime GHG emissions reduced/avoided,Environmental,1580000,tCO2e,102.972108,"The trail only states this is for Belgium as a sovereign green bond but provides no derivation details for the 1,580,000 tCO2e figure. Unable to verify without more context, but no arithmetic error is visible.",https://source.arctal.ai/entities/kingdom-of-belgium/alloc-report__2018__kingdom-belgium-green-olo-impact-detailing-environmental__2019-12-10__6ef98c8def13.pdf#page=5,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 1,580,000.00 tCO2e (from source, denom=bond, entry=category); 1,580,000.00 / 15,344.0M USD = 102.97 tCO2e/$M

Extraction notes:
Category-level aggregation performed as requested in agent guidance
Clean Transportation - Railway combines SNCB/NMBS New Rolling Stock (222M EUR, 68kt) and INFRABEL Railway Infrastructure Maintenance (768M EUR, 1512kt) for total 990M EUR and 1580kt lifetime GHG avoided
Clean Transportation - Tax Exemptions is separate at 404M EUR with 327kt annual GHG avoided
Renewable Energy - Offshore Wind: 173M EUR with 637kt annual GHG avoided
Renewable Energy - BIO INVEST: 66M EUR with 40kt total GHG avoided (28kt operational + 12kt under construction)
Eco-efficient & Circular Economy - Packaging: 100M EUR with 299kt annual GHG avoided
Assessment values converted from kilotons (kt) to tonnes (tCO2e) by multiplying by 1000
Railway investments show lifetime impacts (45 years for M7, 40 years for maintenance), others show 2017-2018 annual impacts
All allocations are for Belgium as this is a Belgian sovereign green bond"
BE0000346552,2,Belgium,12455000000,EUR,15343960971.76,Clean Transportation,Annual GHG emissions reduced/avoided/sequestered,Environmental,157850,tCO2e,10.287435,,https://source.arctal.ai/entities/kingdom-of-belgium/alloc-report__2018__kingdom-belgium-green-olo-impact-detailing-environmental__2019-12-10__6ef98c8def13.pdf#page=5,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 157,850.00 tCO2e (from source, denom=bond, entry=category); 157,850.00 / 15,344.0M USD = 10.29 tCO2e/$M

Extraction notes:
p19: 138 kt (public transport) + 19.85 kt (bicycle) = 157.85 kt CO2 avoided in 2018 from clean transport tax exemptions"
BE0000346552,3,Belgium,12455000000,EUR,15343960971.76,Renewable Energy,Annual GHG emissions reduced/avoided/sequestered,Environmental,376000,tCO2e,24.504755,,https://source.arctal.ai/entities/kingdom-of-belgium/alloc-report__2018__kingdom-belgium-green-olo-impact-detailing-environmental__2019-12-10__6ef98c8def13.pdf#page=5,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 376,000.00 tCO2e (from source, denom=bond, entry=category); 376,000.00 / 15,344.0M USD = 24.50 tCO2e/$M

Extraction notes:
p17: 376 kt CO2 avoided in 2018 from offshore wind (using CCGT emission factor 380 t CO2/GWh)"
BE0000346552,4,Belgium,12455000000,EUR,15343960971.76,Renewable Energy,Annual renewable energy generation,Environmental,989000000.0,MWh,64455.325572,Annual renewable energy generation: PMU 64455 exceeds cap 50000 MWh/$M,https://source.arctal.ai/entities/kingdom-of-belgium/alloc-report__2018__kingdom-belgium-green-olo-impact-detailing-environmental__2019-12-10__6ef98c8def13.pdf#page=5,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 989,000.00 MWh (from source, denom=bond, entry=category); 989,000.00 / 15,344.0M USD = 64.46 MWh/$M | Review: Trail states '989 GWh offshore wind electricity' but the value is recorded as 989,000 MWh. 989 GWh = 989,000,000 MWh, not 989,000 MWh. The conversion from GWh to MWh appears to have been done incorrectly (multiplied by 1,000 instead of 1,000,000, or the source value 989 was treated as if already in GWh thousands). Actually, 989 GWh = 989,000 MWh is correct (1 GWh = 1,000 MWh). Correction withdrawn. | Cap: Annual renewable energy generation: PMU 64455 exceeds cap 50000 MWh/$M

Extraction notes:
p17: 989 GWh offshore wind electricity attributed to Green OLO in 2018"
BE0000346552,5,Belgium,12455000000,EUR,15343960971.76,Renewable Energy,Annual GHG emissions reduced/avoided/sequestered,Environmental,40000,tCO2e,2.606889,,https://source.arctal.ai/entities/kingdom-of-belgium/alloc-report__2018__kingdom-belgium-green-olo-impact-detailing-environmental__2019-12-10__6ef98c8def13.pdf#page=5,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 40,000.00 tCO2e (from source, denom=bond, entry=category); 40,000.00 / 15,344.0M USD = 2.61 tCO2e/$M

Extraction notes:
p5: 40 kt CO2 avoided from BIO INVEST projects (28 kt from p5 table + 12 kt additional)"
BE0000346552,6,Belgium,12455000000,EUR,15343960971.76,Renewable Energy,Installed renewable energy capacity,Environmental,120,MW,0.007821,,https://source.arctal.ai/entities/kingdom-of-belgium/alloc-report__2018__kingdom-belgium-green-olo-impact-detailing-environmental__2019-12-10__6ef98c8def13.pdf#page=5,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 120.00 MW (from source, denom=bond, entry=category); 120.00 / 15,344.0M USD = 0.01 MW/$M

Extraction notes:
p21-22: ~120 MW total installed capacity from BIO INVEST projects"
BE0000346552,7,Belgium,12455000000,EUR,15343960971.76,"Eco-efficient & Circular Economy Adapted Products, Production Technologies & Processes",Annual GHG emissions reduced/avoided/sequestered,Environmental,124000,tCO2e,8.081355,,https://source.arctal.ai/entities/kingdom-of-belgium/alloc-report__2018__kingdom-belgium-green-olo-impact-detailing-environmental__2019-12-10__6ef98c8def13.pdf#page=5,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 124,000.00 tCO2e (from source, denom=bond, entry=category); 124,000.00 / 15,344.0M USD = 8.08 tCO2e/$M

Extraction notes:
p20: 124 kt CO2 avoided in 2018 from reusable beverage containers"
CND10004PTX1,1,China Three Gorges,4000000000,CNY,627059498.54,Renewable Energy,Installed renewable energy capacity,Environmental,10200,MW,16.266399,"Trail says 'full project installed capacity' but bond_share is None and denom=bond. If this is the full project capacity and the bond only finances a portion of the project, this may be overstated. However, with 100% coverage and no bond_share specified, this may be intentional.",https://source.arctal.ai/entities/china-three-gorges-corporation/alloc-report__2024__green-bond-impact-china-three-gorges-corporation-h1-green__unk-pub-date__96d1bf9a795a.pdf#page=8,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 10,200.00 MW (from source, denom=bond, entry=project); 10,200.00 / 627.1M USD = 16.27 MW/$M

Extraction notes:
p5: 1,020万千瓦 = 10,200 MW (full project installed capacity)

Additional sources: https://source.arctal.ai/entities/china-three-gorges-corporation/alloc-report__2024__green-bond-impact-china-three-gorges-corporation-h1-green__unk-pub-date__96d1bf9a795a.pdf#page=5"
CND10004PTX1,2,China Three Gorges,4000000000,CNY,627059498.54,Renewable Energy,Annual renewable energy generation,Environmental,13819000,MWh,22037.781155,"Trail states '19亿千瓦时 = 13,819 GWh'. However, 19亿千瓦时 = 1,900,000,000 Wh × 1000 = 1.9 billion kWh = 1,900 GWh = 1,900,000 MWh, not 13,819 GWh. The conversion from 19亿千瓦时 appears incorrect — 19亿千瓦时 should be 1,900 GWh (1,900,000 MWh). However, the source text may actually say a different number (e.g., 138.19亿千瓦时) that was partially transcribed as '19亿千瓦时' in the trail. Cannot determine the correct source value with certainty.",https://source.arctal.ai/entities/china-three-gorges-corporation/alloc-report__2024__green-bond-impact-china-three-gorges-corporation-h1-green__unk-pub-date__96d1bf9a795a.pdf#page=8,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 13,819,000.00 MWh (from source, denom=bond, entry=project); 13,819,000.00 / 627.1M USD = 22,037.78 MWh/$M

Extraction notes:
p5: 138.19亿千瓦时 = 13,819 GWh = 13,819,000 MWh (full project H1 2024 generation)

Additional sources: https://source.arctal.ai/entities/china-three-gorges-corporation/alloc-report__2024__green-bond-impact-china-three-gorges-corporation-h1-green__unk-pub-date__96d1bf9a795a.pdf#page=5"
CND10004PTX1,3,China Three Gorges,4000000000,CNY,627059498.54,Bond-Wide,Annual GHG emissions reduced/avoided/sequestered,Environmental,281000,tCO2e,448.123345,,https://source.arctal.ai/entities/china-three-gorges-corporation/alloc-report__2024__green-bond-impact-china-three-gorges-corporation-h1-green__unk-pub-date__96d1bf9a795a.pdf#page=8,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 281,000.00 tCO2e (from source, denom=bond, entry=bond_total); 281,000.00 / 627.1M USD = 448.12 tCO2e/$M

Extraction notes:
p8: 28.10万吨 CO2 = 281,000 tCO2e (bond-specific, pro-rated to GN014 allocation)"
