isin,per_isin_id,issuer_name,bond_amount,bond_currency,bond_USD_amount,post_allocation_region,post_allocation_country,post_allocation_country_code,post_geography_as_reported,post_allocation_value,post_allocation_currency,post_allocation_USD,post_allocation_share_of_total,post_allocation_detail,post_source_detail,source_trail
BE0000346552,1,Belgium,12455000000,EUR,15343960971.76,Europe,Belgium,BE,Belgium,1733000000.0,EUR,2134972650.67,1.0,Railway infrastructure investments including new rolling stock (M7) and maintenance of railway infrastructure; Tax exemptions and deductions to promote clean transportation; Federal support for offshore windfarms; Green investments by BIO INVEST; Reduced package charge for using individual reusable drink packages,https://source.arctal.ai/entities/kingdom-of-belgium/alloc-report__2018__kingdom-belgium-green-olo-impact-detailing-environmental__2019-12-10__6ef98c8def13.pdf#page=5,"Allocation: 1,733,000,000.00 EUR (denom=bond, entry=aggregated) | FX: EUR→USD ×1.231952 @2018-02-26 = 2,134,972,651 USD | Pct: 13.9%

Aggregated from 5 entries:
category: Clean Transportation - Railway = 990,000,000.00 EUR
category: Clean Transportation - Tax Exemptions = 404,000,000.00 EUR
category: Renewable Energy - Offshore Wind = 173,000,000.00 EUR
category: Renewable Energy - BIO INVEST = 66,000,000.00 EUR
category: Eco-efficient & Circular Economy - Packaging = 100,000,000.00 EUR

Individual Extracted Value Reasoning:
[1] category: Clean Transportation - Railway: 990,000,000.00 EUR
Extraction notes:
Category-level aggregation performed as requested in agent guidance
Clean Transportation - Railway combines SNCB/NMBS New Rolling Stock (222M EUR, 68kt) and INFRABEL Railway Infrastructure Maintenance (768M EUR, 1512kt) for total 990M EUR and 1580kt lifetime GHG avoided
Clean Transportation - Tax Exemptions is separate at 404M EUR with 327kt annual GHG avoided
Renewable Energy - Offshore Wind: 173M EUR with 637kt annual GHG avoided
Renewable Energy - BIO INVEST: 66M EUR with 40kt total GHG avoided (28kt operational + 12kt under construction)
Eco-efficient & Circular Economy - Packaging: 100M EUR with 299kt annual GHG avoided
Assessment values converted from kilotons (kt) to tonnes (tCO2e) by multiplying by 1000
Railway investments show lifetime impacts (45 years for M7, 40 years for maintenance), others show 2017-2018 annual impacts
All allocations are for Belgium as this is a Belgian sovereign green bond
[2] category: Clean Transportation - Tax Exemptions: 404,000,000.00 EUR
Extraction notes:
Category-level aggregation performed as requested in agent guidance
Clean Transportation - Railway combines SNCB/NMBS New Rolling Stock (222M EUR, 68kt) and INFRABEL Railway Infrastructure Maintenance (768M EUR, 1512kt) for total 990M EUR and 1580kt lifetime GHG avoided
Clean Transportation - Tax Exemptions is separate at 404M EUR with 327kt annual GHG avoided
Renewable Energy - Offshore Wind: 173M EUR with 637kt annual GHG avoided
Renewable Energy - BIO INVEST: 66M EUR with 40kt total GHG avoided (28kt operational + 12kt under construction)
Eco-efficient & Circular Economy - Packaging: 100M EUR with 299kt annual GHG avoided
Assessment values converted from kilotons (kt) to tonnes (tCO2e) by multiplying by 1000
Railway investments show lifetime impacts (45 years for M7, 40 years for maintenance), others show 2017-2018 annual impacts
All allocations are for Belgium as this is a Belgian sovereign green bond
[3] category: Renewable Energy - Offshore Wind: 173,000,000.00 EUR
Extraction notes:
Category-level aggregation performed as requested in agent guidance
Clean Transportation - Railway combines SNCB/NMBS New Rolling Stock (222M EUR, 68kt) and INFRABEL Railway Infrastructure Maintenance (768M EUR, 1512kt) for total 990M EUR and 1580kt lifetime GHG avoided
Clean Transportation - Tax Exemptions is separate at 404M EUR with 327kt annual GHG avoided
Renewable Energy - Offshore Wind: 173M EUR with 637kt annual GHG avoided
Renewable Energy - BIO INVEST: 66M EUR with 40kt total GHG avoided (28kt operational + 12kt under construction)
Eco-efficient & Circular Economy - Packaging: 100M EUR with 299kt annual GHG avoided
Assessment values converted from kilotons (kt) to tonnes (tCO2e) by multiplying by 1000
Railway investments show lifetime impacts (45 years for M7, 40 years for maintenance), others show 2017-2018 annual impacts
All allocations are for Belgium as this is a Belgian sovereign green bond
[4] category: Renewable Energy - BIO INVEST: 66,000,000.00 EUR
Extraction notes:
Category-level aggregation performed as requested in agent guidance
Clean Transportation - Railway combines SNCB/NMBS New Rolling Stock (222M EUR, 68kt) and INFRABEL Railway Infrastructure Maintenance (768M EUR, 1512kt) for total 990M EUR and 1580kt lifetime GHG avoided
Clean Transportation - Tax Exemptions is separate at 404M EUR with 327kt annual GHG avoided
Renewable Energy - Offshore Wind: 173M EUR with 637kt annual GHG avoided
Renewable Energy - BIO INVEST: 66M EUR with 40kt total GHG avoided (28kt operational + 12kt under construction)
Eco-efficient & Circular Economy - Packaging: 100M EUR with 299kt annual GHG avoided
Assessment values converted from kilotons (kt) to tonnes (tCO2e) by multiplying by 1000
Railway investments show lifetime impacts (45 years for M7, 40 years for maintenance), others show 2017-2018 annual impacts
All allocations are for Belgium as this is a Belgian sovereign green bond
[5] category: Eco-efficient & Circular Economy - Packaging: 100,000,000.00 EUR
Extraction notes:
Category-level aggregation performed as requested in agent guidance
Clean Transportation - Railway combines SNCB/NMBS New Rolling Stock (222M EUR, 68kt) and INFRABEL Railway Infrastructure Maintenance (768M EUR, 1512kt) for total 990M EUR and 1580kt lifetime GHG avoided
Clean Transportation - Tax Exemptions is separate at 404M EUR with 327kt annual GHG avoided
Renewable Energy - Offshore Wind: 173M EUR with 637kt annual GHG avoided
Renewable Energy - BIO INVEST: 66M EUR with 40kt total GHG avoided (28kt operational + 12kt under construction)
Eco-efficient & Circular Economy - Packaging: 100M EUR with 299kt annual GHG avoided
Assessment values converted from kilotons (kt) to tonnes (tCO2e) by multiplying by 1000
Railway investments show lifetime impacts (45 years for M7, 40 years for maintenance), others show 2017-2018 annual impacts
All allocations are for Belgium as this is a Belgian sovereign green bond"
CND10004PTX1,1,China Three Gorges,4000000000,CNY,627059498.54,Asia Pacific,China,CN,China,4000000000.0,CNY,627059498.54,1.0,Hydropower generation facility,https://source.arctal.ai/entities/china-three-gorges-corporation/alloc-report__2024__green-bond-impact-china-three-gorges-corporation-h1-green__unk-pub-date__96d1bf9a795a.pdf#page=8,"Allocation: 4,000,000,000.00 CNY (denom=bond, entry=aggregated) | FX: CNY→USD ×0.156765 @2021-11-12 = 627,059,499 USD | Pct: 100.0%

Aggregated from 1 entries:
project: Wudongde Hydropower (乌东德) = 4,000,000,000.00 CNY

Additional sources: https://source.arctal.ai/entities/china-three-gorges-corporation/alloc-report__2024__green-bond-impact-china-three-gorges-corporation-h1-green__unk-pub-date__96d1bf9a795a.pdf#page=5"
XS3358268251,1,Svenska Handelsbanken,1000000000,EUR,1170565311.26,Europe,Sweden,SE,Sweden,889888449.0830804,EUR,1041672549.39,0.889888,Geographic allocation to Sweden,https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=9,"Allocation: 4,946,000,000.00 EUR (denom=portfolio, entry=region_x_category) | BondShare: bond_amount 1,000,000,000 EUR / eligible_assets_total 5,557,000,000 EUR = bond_share 0.180000 | Scaled: 4,946,000,000.00 × bond_share 0.180000 = 890,280,000.00 | FX: EUR→USD ×1.170565 @2026-04-22 = 1,042,130,885 USD | Pct: 89.0% | Capped: USD sum 1,171,080,360 > bond_USD_amount 1,170,565,311 (from DB), ×0.9996

Extraction notes:
Amounts calculated from percentages shown in 'Eligible Green Assets per geography' pie chart
Total portfolio: EUR 5,557M (Green Bonds EUR 3,250M + Green Covered Bonds EUR 2,307M)
Sweden: 89% × 5,557M = 4,946M EUR
Norway: 10% × 5,557M = 556M EUR
UK: 1% × 5,557M = 56M EUR"
XS3358268251,2,Svenska Handelsbanken,1000000000,EUR,1170565311.26,Europe,Norway,NO,Norway,100035984.1670426,EUR,117098652.94,0.100036,Geographic allocation to Norway,https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=9,"Allocation: 556,000,000.00 EUR (denom=portfolio, entry=region_x_category) | BondShare: bond_amount 1,000,000,000 EUR / eligible_assets_total 5,557,000,000 EUR = bond_share 0.180000 | Scaled: 556,000,000.00 × bond_share 0.180000 = 100,080,000.00 | FX: EUR→USD ×1.170565 @2026-04-22 = 117,150,176 USD | Pct: 10.0% | Capped: USD sum 1,171,080,360 > bond_USD_amount 1,170,565,311 (from DB), ×0.9996

Extraction notes:
Amounts calculated from percentages shown in 'Eligible Green Assets per geography' pie chart
Total portfolio: EUR 5,557M (Green Bonds EUR 3,250M + Green Covered Bonds EUR 2,307M)
Sweden: 89% × 5,557M = 4,946M EUR
Norway: 10% × 5,557M = 556M EUR
UK: 1% × 5,557M = 56M EUR"
XS3358268251,3,Svenska Handelsbanken,1000000000,EUR,1170565311.26,Europe,United Kingdom,GB,United Kingdom,10075566.750637384,EUR,11794108.93,0.010076,Geographic allocation to United Kingdom,https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=9,"Allocation: 56,000,000.00 EUR (denom=portfolio, entry=region_x_category) | BondShare: bond_amount 1,000,000,000 EUR / eligible_assets_total 5,557,000,000 EUR = bond_share 0.180000 | Scaled: 56,000,000.00 × bond_share 0.180000 = 10,080,000.00 | FX: EUR→USD ×1.170565 @2026-04-22 = 11,799,298 USD | Pct: 1.0% | Capped: USD sum 1,171,080,360 > bond_USD_amount 1,170,565,311 (from DB), ×0.9996

Extraction notes:
Amounts calculated from percentages shown in 'Eligible Green Assets per geography' pie chart
Total portfolio: EUR 5,557M (Green Bonds EUR 3,250M + Green Covered Bonds EUR 2,307M)
Sweden: 89% × 5,557M = 4,946M EUR
Norway: 10% × 5,557M = 556M EUR
UK: 1% × 5,557M = 56M EUR"
KR6032711E85,1,Shinhan Card Co Ltd,120000000000,KRW,87490150.31,Asia Pacific,South Korea,KR,South Korea,120000000000.0,KRW,87490150.31,1.0,Green vehicle loans and green operating capital for eco-friendly vehicles,https://source.arctal.ai/entities/shinhan-card/SR__2024__shinhan-card-fifth-covering-ESG-performance-january-1__2025-05-XX__2c0b12379c71.pdf#page=73,"Allocation: 120,000,000,000.00 KRW (denom=bond, entry=aggregated) | FX: KRW→USD ×0.000729 @2024-08-08 = 87,490,150 USD | Pct: 100.0%

Aggregated from 1 entries:
category: Clean Transportation = 120,000,000,000.00 KRW"
CND10007KF01,1,Black Peony Group,200000000,CNY,27830495.91,Asia Pacific,China,CN,China,170000000.0,CNY,23655921.52,1.0,Green affordable housing construction for Baixin Xiyuan Phase V and Xinjing Huayuan Phase V residential building projects,https://source.arctal.ai/entities/black-peony-group-co-ltd/AR__2024__black-peony-group-co-LTD-stock-code-600510-shanghai-listed__unk-pub-date__968859e76481.pdf#page=82,"Allocation: 170,000,000.00 CNY (denom=bond, entry=aggregated) | FX: CNY→USD ×0.139152 @2024-02-06 = 23,655,922 USD | Pct: 85.0%

Aggregated from 1 entries:
category: Affordable Housing = 170,000,000.00 CNY"
CND10008Q588,1,Fuzhou Metro Group Co,400000000,CNY,55070772.48,Asia Pacific,China,CN,China,399999999.9805114,CNY,55070772.48,1.0,福州市轨道交通1号线 - Urban rail transit Line 1; 福州市轨道交通2号线 - Urban rail transit Line 2; 福州市轨道交通4号线 - Urban rail transit Line 4; 福州市轨道交通5号线 - Urban rail transit Line 5; 福州市轨道交通6号线 - Urban rail transit Line 6,https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=9,"Allocation: 3,605,000,000.00 CNY (denom=portfolio, entry=aggregated) | BondShare: bond_amount 400,000,000 CNY / eligible_assets_total 3,400,000,000 CNY = bond_share 0.117600 | Scaled: 3,605,000,000.00 × bond_share 0.117600 = 423,948,000.00 | FX: CNY→USD ×0.137677 @2024-12-06 = 58,367,860 USD | Pct: 106.0%

Aggregated from 5 entries:
subcategory: Fuzhou Metro Line 1 = 142,421,832.00 CNY
subcategory: Fuzhou Metro Line 2 = 94,789,128.00 CNY
subcategory: Fuzhou Metro Line 4 = 101,970,960.00 CNY
subcategory: Fuzhou Metro Line 5 = 10,854,480.00 CNY
subcategory: Fuzhou Metro Line 6 = 73,911,600.00 CNY

Individual Extracted Value Reasoning:
[1] subcategory: Fuzhou Metro Line 1: 142,421,832.00 CNY
(no extraction notes)
[2] subcategory: Fuzhou Metro Line 2: 94,789,128.00 CNY
(no extraction notes)
[3] subcategory: Fuzhou Metro Line 4: 101,970,960.00 CNY
(no extraction notes)
[4] subcategory: Fuzhou Metro Line 5: 10,854,480.00 CNY
(no extraction notes)
[5] subcategory: Fuzhou Metro Line 6: 73,911,600.00 CNY
(no extraction notes) | Capped: USD sum 58,367,860 > bond_USD_amount 55,070,772 (from DB), ×0.9435

Additional sources: https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=14"
US50050GAM06,1,Kookmin Bank,500000000,USD,500000000.0,Asia Pacific,South Korea,KR,Korea,500000000.0,USD,500000000.0,1.0,Solar power energy projects including Yeongam Solar Power Plant PF and Yeongam Energy Storage System; SME financing and microfinance including low-interest rate loans to SOHOs and COVID-19 special guarantee loans,https://source.arctal.ai/entities/kookmin-bank/alloc-report__2020__kb-kookmin-bank-post-issuance-impact-covering-6__2020-06-XX__07c84b2f23d2.pdf#page=9,"Allocation: 500,000,000.00 USD (denom=bond, entry=aggregated) | Pct: 100.0%

Aggregated from 2 entries:
category: Renewable Energy = 26,464,418.00 USD
category: Socioeconomic Advancement and Empowerment = 473,535,582.00 USD

Individual Extracted Value Reasoning:
[1] category: Renewable Energy: 26,464,418.00 USD
Extraction notes:
Green category consists of Solar Power Energy only (no other renewable technologies). SME loan count is sum of 9,328 low-interest rate loans to SOHOs and 10,960 COVID-19 special guarantee loans = 20,288 total loans. GHG avoided converted from kgCO2/year to tCO2e: 8,471,920 kgCO2/year = 8,471.92 tCO2e/year. Note: Social total in table shows 473,535,282 but recalculates to 473,535,582; using the latter which matches SME Financing & Microfinance line item.
[2] category: Socioeconomic Advancement and Empowerment: 473,535,582.00 USD
Extraction notes:
Green category consists of Solar Power Energy only (no other renewable technologies). SME loan count is sum of 9,328 low-interest rate loans to SOHOs and 10,960 COVID-19 special guarantee loans = 20,288 total loans. GHG avoided converted from kgCO2/year to tCO2e: 8,471,920 kgCO2/year = 8,471.92 tCO2e/year. Note: Social total in table shows 473,535,282 but recalculates to 473,535,582; using the latter which matches SME Financing & Microfinance line item."
SE0006371324,1,Orebro,200000000,SEK,27860275.15,Europe,Sweden,SE,Sweden,169584000.0,SEK,23623284.5,1.0,"Wind turbines; Solar park; New construction: passive building apartments, certified school, university building, preschool; Renovation: student apartment redevelopment, energy efficiency initiatives, residential phase; Nitrogen removal at sewage treatment works",https://source.arctal.ai/entities/orebro-kommun/alloc-report__2016__post-issuance-impact-municipality-orebro-detailing__2016-12-31__636bc9181e9b.pdf#page=3,"Allocation: 1,059,900,000.00 SEK (denom=portfolio, entry=aggregated) | BondShare: bond_amount 200,000,000 SEK / eligible_assets_total 1,250,000,000 SEK = bond_share 0.160000 | Scaled: 1,059,900,000.00 × bond_share 0.160000 = 169,584,000.00 | FX: SEK→USD ×0.139301 @2014-10-16 = 23,623,285 USD | Pct: 84.8%

Aggregated from 5 entries:
subcategory: Wind = 49,184,000.00 SEK
subcategory: Solar = 0.00 SEK
subcategory: Energy-efficient buildings (New construction) = 72,240,000.00 SEK
subcategory: Energy-efficient buildings (Renovation) = 44,160,000.00 SEK
subcategory: Clean Water and Wastewater = 4,000,000.00 SEK

Individual Extracted Value Reasoning:
[1] subcategory: Wind: 49,184,000.00 SEK
Extraction notes:
Aggregated projects into subcategory rows per Phoenix granularity contract.
Renewable Energy: Wind turbines (307.4 MSEK disbursed), Solar park (0.0 MSEK disbursed - no disbursements yet).
Energy Efficiency - New construction: Pärllöken (51.0) + Vintrosa Skola (74.0) + Örebro University Nova Building (300.0) + Marieberg Preschool (26.5) = 451.5 MSEK. Student accommodation, Bettorp Preschool, My Green Block Vivalla, and Brunnskolan show 0.0 disbursed and are excluded.
Energy Efficiency - Renovation: Maskinisten (56.0) + Varberga energy efficiency (175.0) + Hovstavägen phase 1 (45.0) = 276.0 MSEK.
General environmental initiatives mapped to Clean Water and Wastewater: Nitrogen removal at sewage treatment works (25.0 MSEK).
Total disbursed across all categories: 1059.9 MSEK matches table total.
All projects located in Örebro, Sweden - rolled up to country level.
Solar cells mentioned (42 kW installed in 2016) but no generation data provided. GHG avoided of 40,000 tCO2e/year is a 2020 target for the KumBro Vind project, not actual 2016 performance. 2016 actual renewable generation was 47.6 GWh = 47,600 MWh.
[2] subcategory: Solar: 0.00 SEK
Extraction notes:
Aggregated projects into subcategory rows per Phoenix granularity contract.
Renewable Energy: Wind turbines (307.4 MSEK disbursed), Solar park (0.0 MSEK disbursed - no disbursements yet).
Energy Efficiency - New construction: Pärllöken (51.0) + Vintrosa Skola (74.0) + Örebro University Nova Building (300.0) + Marieberg Preschool (26.5) = 451.5 MSEK. Student accommodation, Bettorp Preschool, My Green Block Vivalla, and Brunnskolan show 0.0 disbursed and are excluded.
Energy Efficiency - Renovation: Maskinisten (56.0) + Varberga energy efficiency (175.0) + Hovstavägen phase 1 (45.0) = 276.0 MSEK.
General environmental initiatives mapped to Clean Water and Wastewater: Nitrogen removal at sewage treatment works (25.0 MSEK).
Total disbursed across all categories: 1059.9 MSEK matches table total.
All projects located in Örebro, Sweden - rolled up to country level.
[3] subcategory: Energy-efficient buildings (New construction): 72,240,000.00 SEK
Extraction notes:
Aggregated projects into subcategory rows per Phoenix granularity contract.
Renewable Energy: Wind turbines (307.4 MSEK disbursed), Solar park (0.0 MSEK disbursed - no disbursements yet).
Energy Efficiency - New construction: Pärllöken (51.0) + Vintrosa Skola (74.0) + Örebro University Nova Building (300.0) + Marieberg Preschool (26.5) = 451.5 MSEK. Student accommodation, Bettorp Preschool, My Green Block Vivalla, and Brunnskolan show 0.0 disbursed and are excluded.
Energy Efficiency - Renovation: Maskinisten (56.0) + Varberga energy efficiency (175.0) + Hovstavägen phase 1 (45.0) = 276.0 MSEK.
General environmental initiatives mapped to Clean Water and Wastewater: Nitrogen removal at sewage treatment works (25.0 MSEK).
Total disbursed across all categories: 1059.9 MSEK matches table total.
All projects located in Örebro, Sweden - rolled up to country level.
Solar cells mentioned (42 kW installed in 2016) but no generation data provided. GHG avoided of 40,000 tCO2e/year is a 2020 target for the KumBro Vind project, not actual 2016 performance. 2016 actual renewable generation was 47.6 GWh = 47,600 MWh.
[4] subcategory: Energy-efficient buildings (Renovation): 44,160,000.00 SEK
Extraction notes:
Aggregated projects into subcategory rows per Phoenix granularity contract.
Renewable Energy: Wind turbines (307.4 MSEK disbursed), Solar park (0.0 MSEK disbursed - no disbursements yet).
Energy Efficiency - New construction: Pärllöken (51.0) + Vintrosa Skola (74.0) + Örebro University Nova Building (300.0) + Marieberg Preschool (26.5) = 451.5 MSEK. Student accommodation, Bettorp Preschool, My Green Block Vivalla, and Brunnskolan show 0.0 disbursed and are excluded.
Energy Efficiency - Renovation: Maskinisten (56.0) + Varberga energy efficiency (175.0) + Hovstavägen phase 1 (45.0) = 276.0 MSEK.
General environmental initiatives mapped to Clean Water and Wastewater: Nitrogen removal at sewage treatment works (25.0 MSEK).
Total disbursed across all categories: 1059.9 MSEK matches table total.
All projects located in Örebro, Sweden - rolled up to country level.
Page shows three renovation projects with energy savings: Maskinisten (132,000 kWh/year), Hovsta (402,000 kWh/year), and Varberga (200,000 kWh/year). Total: 734,000 kWh/year = 734 MWh/year. Converted kWh to MWh for consistency with KPI definition. Year 2014 from bond placement date. Mapped to multiple energy efficiency related entries as they all represent the same underlying data.
[5] subcategory: Clean Water and Wastewater: 4,000,000.00 SEK
Extraction notes:
Aggregated projects into subcategory rows per Phoenix granularity contract.
Renewable Energy: Wind turbines (307.4 MSEK disbursed), Solar park (0.0 MSEK disbursed - no disbursements yet).
Energy Efficiency - New construction: Pärllöken (51.0) + Vintrosa Skola (74.0) + Örebro University Nova Building (300.0) + Marieberg Preschool (26.5) = 451.5 MSEK. Student accommodation, Bettorp Preschool, My Green Block Vivalla, and Brunnskolan show 0.0 disbursed and are excluded.
Energy Efficiency - Renovation: Maskinisten (56.0) + Varberga energy efficiency (175.0) + Hovstavägen phase 1 (45.0) = 276.0 MSEK.
General environmental initiatives mapped to Clean Water and Wastewater: Nitrogen removal at sewage treatment works (25.0 MSEK).
Total disbursed across all categories: 1059.9 MSEK matches table total.
All projects located in Örebro, Sweden - rolled up to country level.

Additional sources: https://source.arctal.ai/entities/orebro-kommun/alloc-report__2016__post-issuance-impact-municipality-orebro-detailing__2016-12-31__636bc9181e9b.pdf#page=4; https://source.arctal.ai/entities/orebro-kommun/alloc-report__2016__post-issuance-impact-municipality-orebro-detailing__2016-12-31__636bc9181e9b.pdf#page=6; https://source.arctal.ai/entities/orebro-kommun/alloc-report__2016__post-issuance-impact-municipality-orebro-detailing__2016-12-31__636bc9181e9b.pdf#page=7"
